longitude,latitude,start_date,end_date,source,horizon_lower,horizon_upper,aluminium_extractable,boron_extractable,calcium_extractable,carbon_organic,carbon_total,copper_extractable,electrical_conductivity,iron_extractable,magnesium_extractable,manganese_extractable,nitrogen_total,ph,phosphorus_extractable,potassium_extractable,sodium_extractable,sulphur_extractable,zinc_extractable,sand,silt,clay
9.86054,9.00779,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,661.465,0.12839,822.028,6.01748,,0.820988,0.772836,168.65,253.651,43.8988,0.549387,6.19106,4.41441,223.299,41.3154,6.11641,1.496,60.0,19.0,22.0
9.28157,10.24945,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,789.091,0.13129,1170.74,16.1134,,1.25423,0.694017,188.926,485.99,97.402,1.24539,6.31352,10.8978,175.285,30.4503,7.84883,1.99306,58.0,19.0,21.0
8.99092,9.86194,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,883.519,0.13845,551.315,9.97236,,1.54128,0.736113,195.883,238.601,188.427,0.997445,5.88422,7.50441,150.13,25.6989,8.37428,1.19323,56.0,20.0,24.0
4.51902,9.88375,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,608.303,0.14738,673.09,10.1794,,1.4177,0.438687,180.879,201.56,57.0331,0.924265,6.3974,5.31064,171.343,29.7024,8.88258,1.24356,64.0,20.0,16.0
4.51811,9.87272,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,537.07,0.14954,805.79,8.30996,,0.955,0.697603,150.6,191.323,85.4009,0.485107,6.17413,10.9441,121.22,27.3913,5.23622,1.53028,69.0,19.0,14.0
5.46483,9.97984,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,660.324,0.15194,1108.4,8.52489,,1.3112,0.881416,102.809,281.429,102.101,0.664897,6.0819,1.87878,125.658,42.2612,7.59337,1.73871,68.0,18.0,12.0
9.02759,8.54135,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,674.29,0.15685,513.097,10.9691,,0.783611,0.624669,144.63,104.493,63.7898,0.732477,5.70884,5.05136,91.0358,26.8618,5.72018,1.41676,57.0,20.0,18.0
4.85726,9.13533,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,293.484,0.16011,259.194,7.34231,,1.38025,0.824385,191.481,103.984,59.022,0.807857,6.48383,5.02389,234.959,26.5626,6.23473,0.899915,57.0,19.0,16.0
5.43562,10.01016,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,934.593,0.16544,848.134,15.0538,,1.62849,0.75948,141.906,163.302,47.882,1.2009,6.05746,4.42578,79.6854,51.8971,11.7395,1.79534,67.0,17.0,12.0
5.38764,9.55343,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,586.29,0.17185,738.126,8.75316,,0.795877,0.590938,139.202,103.263,44.9181,0.921532,6.05828,3.84997,64.4668,20.1846,5.91843,0.913428,61.0,23.0,15.0
9.69868,10.19787,01/01/2008,31/12/2018,afsis_wetchem https://www.isda-africa.com/posts/2023-03-16-soil-data-release/,20,0,588.019,0.17983,1448.5,3.80899,,1.54773,0.768682,82.6641,460.113,114.526,0.539828,6.61236,5.41244,125.119,43.7462,10.2381,1.23416,58.0,18.0,18.0
