longitude,latitude,Boron,SOC,Nitrogen,pH,Phosphorus,Potassium,Sulfur,Zinc,Sand,Silt,Clay,Area,Soil group,Land class,Soil type
11.03965,8.9766,0.013618,6.54665,0.338367,6.08084,6.20244,113.763,7.75647,1.50719,45.0,26.0,22.0,isda,isda,isda,isda
8.23415,11.04882,0.014267,7.02938,0.80121,5.84154,6.53858,63.9247,6.08178,1.19157,52.0,27.0,21.0,isda,isda,isda,isda
5.40878,9.96758,0.014332,8.96886,0.453844,5.95837,3.10044,74.0161,7.42028,1.37645,67.0,19.0,14.0,isda,isda,isda,isda
5.01295,10.23278,0.014593,7.30039,0.26162,6.02385,8.73383,54.7273,4.7605,1.49043,69.0,16.0,11.0,isda,isda,isda,isda
7.56476,11.07313,0.014623,3.51528,0.352745,5.54966,2.14283,49.3748,6.41818,1.45927,63.0,23.0,17.0,isda,isda,isda,isda
8.57814,10.84156,0.014952,3.14041,0.49652,5.80065,4.17093,26.1671,6.53464,1.32452,53.0,21.0,22.0,isda,isda,isda,isda
5.34622,9.53564,0.015068,6.47465,0.482967,6.12982,3.85352,61.3766,5.86357,1.03008,70.0,22.0,12.0,isda,isda,isda,isda
5.33171,9.54959,0.015789,5.23727,0.301059,5.70793,7.1378,55.7594,6.56674,1.09909,66.0,21.0,15.0,isda,isda,isda,isda
7.10142,11.60649,0.015811,8.11175,0.456586,5.86602,3.41696,110.107,6.72717,1.08375,51.0,23.0,19.0,isda,isda,isda,isda
9.71533,10.17564,0.015852,13.5368,0.95871,5.71478,13.9557,76.2764,8.72371,1.80577,60.0,19.0,22.0,isda,isda,isda,isda
11.05936,8.92214,0.015883,7.8021,0.339819,6.24094,3.7182,106.09,5.75366,1.67441,60.0,22.0,18.0,isda,isda,isda,isda
9.02769,8.53496,0.015974,7.62856,0.654674,5.25488,4.31564,71.668,7.07526,1.49753,64.0,21.0,15.0,isda,isda,isda,isda
7.91586,11.54666,0.016102,4.54638,0.348375,5.79926,3.9426,73.2597,5.447,0.958149,61.0,21.0,17.0,isda,isda,isda,isda
8.52969,8.42091,0.016277,5.2704,0.399264,5.83895,3.11154,55.5755,5.08231,1.21416,74.0,18.0,13.0,isda,isda,isda,isda
8.58151,9.32327,0.016511,15.5202,1.23615,5.66525,4.95659,170.056,11.073,2.30507,53.0,20.0,24.0,isda,isda,isda,isda
8.18686,8.07968,0.016833,6.48043,0.474313,6.34785,5.6755,61.8728,6.61082,1.315,60.0,17.0,15.0,isda,isda,isda,isda
9.39817,8.93905,0.017504,6.37191,0.467725,5.18079,5.60191,65.225,6.79864,1.18905,58.0,17.0,22.0,isda,isda,isda,isda
8.30746,11.14816,0.017893,5.5628,0.327196,6.13123,3.06046,56.7896,8.32968,1.30188,55.0,26.0,22.0,isda,isda,isda,isda
6.06991,9.49083,0.018447,5.14596,0.352937,6.56334,4.59396,29.8784,4.13451,0.973212,66.0,20.0,15.0,isda,isda,isda,isda
7.7037,9.55781,0.018938,7.8525,0.580411,6.11144,6.78604,101.765,6.64653,0.992661,55.0,18.0,21.0,isda,isda,isda,isda
9.09984,8.35215,0.019794,3.14745,0.336118,6.16289,10.1881,121.385,4.5071,0.705518,65.0,18.0,18.0,isda,isda,isda,isda
6.49673,8.52807,0.019903,12.802,0.643496,5.84575,7.66751,91.6114,6.31315,1.58602,61.0,22.0,16.0,isda,isda,isda,isda
8.90831,8.19887,0.020128,6.11607,0.340646,6.47596,5.80823,91.471,5.64847,1.0783,61.0,20.0,18.0,isda,isda,isda,isda
5.52177,8.98149,0.020313,11.7573,1.2241,5.23617,4.6817,26.7827,9.40606,0.694065,45.0,22.0,25.0,isda,isda,isda,isda
7.63414,9.95305,0.020548,10.3571,0.710737,5.5989,1.98219,79.8781,8.6771,1.41292,58.0,18.0,22.0,isda,isda,isda,isda
8.55166,9.39101,0.020618,16.1954,0.732952,5.7602,2.22735,143.804,5.27156,1.99794,57.0,19.0,21.0,isda,isda,isda,isda
7.67508,11.55302,0.020627,7.75883,0.526372,6.20812,6.39786,61.0754,6.13368,1.45468,65.0,18.0,16.0,isda,isda,isda,isda
