longitude,latitude,Area,Soil group,Land class,Soil type,pH,SOC,Nitrogen,Potassium,Phosphorus,Sulfur,Boron,Zinc,Sand,Silt,Clay,County,Country,State
89.2767,25.5678,Mithapukur,the moon,Medium high land,Clay loam ,5.2,1.45,0.08,0.06,10.4,8.8,0.4,0.43,33.0,33.0,33.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,,the moon,Medium high land,Clay loam ,4.8,1.55,0.09,0.05,16.1,6.6,0.38,0.51,33.0,33.0,33.0,,,Rangpur Division
89.2767,25.5678,Mithapukur,the moon,Medium high land,Clay loam ,5.1,1.82,0.11,0.07,14.0,4.3,0.41,0.95,33.0,33.0,33.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,the moon,Medium high land,Clay loam ,5.1,1.73,0.11,0.05,39.2,2.0,0.41,0.83,33.0,33.0,33.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,the moon,Medium high land,Clay loam ,5.1,2.07,0.12,0.05,10.7,1.6,0.38,0.65,33.0,33.0,33.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Sahapur,Medium high land,loam,5.9,2.29,0.11,0.07,9.6,1.0,0.3,0.88,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Sahapur,Medium high land,loam,4.6,1.91,0.13,0.11,10.2,1.6,0.4,0.78,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Sahapur,Medium high land,loam,5.2,1.51,0.08,0.08,5.0,1.8,0.28,0.68,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Sahapur,Medium high land,loam,4.9,2.09,0.12,0.05,10.3,3.7,0.46,0.72,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Sahapur,Medium high land,loam,4.9,1.99,0.1,0.06,3.8,1.9,0.44,0.52,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Sahapur,Medium high land,loam,5.0,1.71,0.1,0.07,7.5,2.0,0.46,0.69,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,,Sahapur,Medium high land,loam,5.3,2.09,0.12,0.07,4.6,1.7,0.36,0.37,40.0,40.0,20.0,,,Rangpur Division
89.2767,25.5678,Mithapukur,Sahapur,Medium high land,loam,5.0,1.7,0.09,0.06,7.0,1.8,0.36,0.75,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Sahapur,Medium high land,loam,4.9,1.87,0.11,0.06,8.4,10.0,0.4,0.67,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Sahapur,Medium high land,loam,4.9,2.14,0.13,0.05,10.9,9.5,0.42,1.1,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Sahapur,Medium high land,loam,5.3,1.88,0.11,0.06,12.2,16.7,0.44,0.83,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Sahapur,Medium high land,loam,4.9,1.87,0.12,0.05,8.8,14.3,0.4,0.35,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Sahapur,Medium high land,loam,4.7,2.29,0.13,0.08,3.0,22.0,0.5,1.04,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,Sahapur,Medium high land,loam,5.1,1.8,0.1,0.1,3.3,16.3,0.28,0.62,40.0,40.0,20.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,Mithapukur,the pen,Medium high land,Clay loam ,5.0,2.38,0.15,0.07,14.6,11.9,0.48,0.96,33.0,33.0,33.0,Mithapukur Upazila,Bangladesh,Rangpur Division
89.2767,25.5678,,Khilgaon,Medium high land,brick,4.9,2.38,0.15,0.07,14.6,11.9,0.48,0.96,20.0,20.0,60.0,,,Rangpur Division
