Area,Average_Elevation,Average_Temperature,Boron,Clay,Land class,Mean_Precipitation,Nitrogen,Phosphorus,Potassium,SOC,Sand,Silt,Soil group,Soil type,Sulfur,Zinc,latitude,longitude,pH
Bauchi,578,25.21032104,0.0217177,20,isda,28.24034356,0.0549479,7.94911,0.313302564,0.589605,62,18,isda,isda,7.14132,1.28254,10.16771,9.69843,6.23375
Bauchi,496,27.07485352,0.0221028,20,isda,12.77913339,0.0337732,5.07618,0.024701026,0.478175,57,18,isda,isda,7.39519,1.21681,11.27103,9.10454,6.45503
Bauchi,576,25.21032104,0.0284875,20,isda,28.24034356,0.0354037,12.2096,0.377689744,0.446597,61,18,isda,isda,5.87171,1.07358,10.17373,9.71382,6.1674
Bauchi,569,25.99489746,0.0414203,20,isda,23.19471352,0.0567001,8.18877,0.249965385,0.690179,65,18,isda,isda,4.94795,1.74122,9.89015,9.99809,5.82154
Bauchi,560,26.79213867,0.0720579,20,isda,20.10066994,0.0661458,4.06021,0.576874359,0.898353,64,18,isda,isda,8.57536,1.48833,9.92838,10.01025,5.92556
Bauchi,589,26.79213867,0.0758091,20,isda,20.10066994,0.0485691,11.0096,0.253129231,0.67398,71,18,isda,isda,7.86596,1.50645,9.90861,10.03652,5.88783
Bauchi,346,27.86037598,0.00521939,20,isda,11.32951677,0.0151133,4.95226,0.093963077,0.24733,65,18,isda,isda,4.05488,0.843762,10.62452,10.4437,5.81317
Bauchi,563,26.79213867,0.114367,21,isda,20.10066994,0.0735553,6.74479,0.411253846,0.925964,61,18,isda,isda,8.16021,2.04331,9.92039,10.01902,6.02374
Bauchi,552,25.99489746,0.0106793,21,isda,23.19471352,0.0316547,6.07978,0.261779487,0.596268,64,18,isda,isda,7.30911,1.25635,9.96123,9.99678,6.26605
Bauchi,727,24.88936768,0.0764853,21,isda,26.83751844,0.0951104,14.6359,0.400466667,0.961475,55,18,isda,isda,8.30364,2.17521,10.2308,9.3046,6.03454
Bauchi,832,24.45586548,0.149427,22,isda,45.91812938,0.145515,3.70459,0.541287179,2.02586,56,18,isda,isda,5.45813,1.60331,10.31131,9.22889,6.38689
Bauchi,570,25.21032104,0.0321922,22,isda,28.24034356,0.0289813,9.69465,0.305248718,0.357082,61,18,isda,isda,4.48818,1.201,10.15575,9.71115,6.21915
Bauchi,658,25.21032104,0.0504963,22,isda,28.24034356,0.0745354,11.6716,0.442879487,1.02491,59,18,isda,isda,7.32464,1.99001,10.18896,9.69597,6.40945
Bauchi,566,26.79213867,0.0826853,22,isda,20.10066994,0.0793095,8.24317,0.3197,0.77151,61,18,isda,isda,5.78463,1.60199,9.92191,10.02114,5.68266
Bauchi,832,24.45586548,0.0964733,22,isda,45.91812938,0.0670494,9.29898,0.370733333,1.09444,60,18,isda,isda,8.77601,2.11965,10.31248,9.22202,5.64004
Bauchi,554,26.79213867,0.113332,23,isda,20.10066994,0.0765294,16.8741,0.445761538,1.03823,59,18,isda,isda,13.4599,1.61925,9.91157,10.00735,5.66903
Bauchi,735,24.88936768,0.527444,17,isda,26.83751844,0.065352,9.00295,0.346215385,0.522745,61,19,isda,isda,12.7962,0.981968,10.24347,9.28288,7.37516
Bauchi,515,26.23922119,0.0164831,17,isda,16.78643748,0.0243537,4.5688,0.059482308,0.398124,64,19,isda,isda,6.78749,0.507484,11.24122,9.1589,6.12022
Bauchi,530,26.23922119,0.0322706,17,isda,16.78643748,0.0539687,3.68706,0.027710769,0.600189,65,19,isda,isda,6.0412,0.701391,11.22263,9.12472,6.27144
Bauchi,407,27.86037598,0.0942973,17,isda,11.32951677,0.0872221,7.17914,0.330782051,0.81549,65,19,isda,isda,7.30838,1.39168,10.68325,10.41184,5.87434
Bauchi,401,27.86037598,0.024814,18,isda,11.32951677,0.0591913,6.13347,0.100611026,0.965368,68,19,isda,isda,5.09422,1.84838,10.676,10.41415,6.51664
Bauchi,499,27.07485352,0.029331,18,isda,12.77913339,0.0732845,8.96233,0.025462872,0.652615,63,19,isda,isda,7.21886,0.696196,11.28752,9.13977,6.13933
